
>>>>>>>>>>>>> Bubble Sort
148000.0 200500.0 167000.0 128100.0 127800.0 161000.0 184900.0 161500.0 202200.0 165100.0  >>> 100 0.165
1038000.0 211400.0 230200.0 177100.0 304700.0 361400.0 306800.0 179200.0 178900.0 176600.0  >>> 250 0.316
747800.0 757400.0 722200.0 733700.0 352000.0 399300.0 534100.0 459300.0 471500.0 609400.0  >>> 500 0.579
881300.0 613200.0 609800.0 619600.0 610000.0 625300.0 640800.0 730400.0 639500.0 658400.0  >>> 750 0.663
1014300.0 1020700.0 1182900.0 996500.0 938500.0 1096200.0 1180900.0 961200.0 1102000.0 1097600.0  >>> 1000 1.059
1608600.0 1789900.0 1639900.0 1428100.0 1552500.0 1677000.0 1530800.0 1601500.0 1817500.0 1617300.0  >>> 1250 1.626
5656600.0 5613100.0 5558400.0 4970300.0 5315600.0 6519300.0 5513400.0 5148300.0 5573300.0 5176200.0  >>> 2500 5.504
12278400.0 11109600.0 13290400.0 11071800.0 11296700.0 12875300.0 11466000.0 12213300.0 11044600.0 10878900.0  >>> 3750 11.753
23022000.0 23243900.0 20655900.0 20369800.0 22702000.0 21648100.0 21027500.0 21170600.0 23439900.0 22088700.0  >>> 5000 21.937
35821400.0 34992000.0 35593200.0 34378500.0 35984000.0 33734300.0 35110100.0 35866200.0 33761800.0 37172600.0  >>> 6250 35.241
52238300.0 54121500.0 55617200.0 53770700.0 56271500.0 52747600.0 54849600.0 53223400.0 56038600.0 53590000.0  >>> 7500 54.247
77499400.0 81129296.0 76487800.0 72641600.0 72088304.0 76714496.0 77761696.0 84205696.0 79547696.0 77538600.0  >>> 8750 77.561
102169000.0 107186400.0 104176704.0 104032800.0 105735904.0 101919000.0 106397296.0 104040800.0 106372400.0 102226896.0  >>> 10000 104.426

>>>>>>>>>>>>> optimized version of Bubble Sort
148000.0 200500.0 167000.0 128100.0 127800.0 161000.0 184900.0 161500.0 202200.0 165100.0  >>> 100 0.165
1038000.0 211400.0 230200.0 177100.0 304700.0 361400.0 306800.0 179200.0 178900.0 176600.0  >>> 250 0.316
747800.0 757400.0 722200.0 733700.0 352000.0 399300.0 534100.0 459300.0 471500.0 609400.0  >>> 500 0.579
881300.0 613200.0 609800.0 619600.0 610000.0 625300.0 640800.0 730400.0 639500.0 658400.0  >>> 750 0.663
1014300.0 1020700.0 1182900.0 996500.0 938500.0 1096200.0 1180900.0 961200.0 1102000.0 1097600.0  >>> 1000 1.059
1608600.0 1789900.0 1639900.0 1428100.0 1552500.0 1677000.0 1530800.0 1601500.0 1817500.0 1617300.0  >>> 1250 1.626
5656600.0 5613100.0 5558400.0 4970300.0 5315600.0 6519300.0 5513400.0 5148300.0 5573300.0 5176200.0  >>> 2500 5.504
12278400.0 11109600.0 13290400.0 11071800.0 11296700.0 12875300.0 11466000.0 12213300.0 11044600.0 10878900.0  >>> 3750 11.753
23022000.0 23243900.0 20655900.0 20369800.0 22702000.0 21648100.0 21027500.0 21170600.0 23439900.0 22088700.0  >>> 5000 21.937
35821400.0 34992000.0 35593200.0 34378500.0 35984000.0 33734300.0 35110100.0 35866200.0 33761800.0 37172600.0  >>> 6250 35.241
52238300.0 54121500.0 55617200.0 53770700.0 56271500.0 52747600.0 54849600.0 53223400.0 56038600.0 53590000.0  >>> 7500 54.247
77499400.0 81129296.0 76487800.0 72641600.0 72088304.0 76714496.0 77761696.0 84205696.0 79547696.0 77538600.0  >>> 8750 77.561
102169000.0 107186400.0 104176704.0 104032800.0 105735904.0 101919000.0 106397296.0 104040800.0 106372400.0 102226896.0  >>> 10000 104.426

>>>>>>>>>>>>> Bubble Sort
236200.0 214300.0 157700.0 173900.0 156200.0 243300.0 243100.0 251200.0 242800.0 248700.0  >>> 100 0.217
1088800.0 311200.0 267900.0 300200.0 311400.0 273100.0 371500.0 288700.0 261300.0 169100.0  >>> 250 0.364
346000.0 388400.0 356200.0 357400.0 364200.0 338600.0 356500.0 282300.0 274400.0 274900.0  >>> 500 0.334
587600.0 627600.0 700100.0 579800.0 609800.0 603900.0 555800.0 570600.0 552500.0 733000.0  >>> 750 0.612
1118200.0 1132800.0 1420900.0 1071500.0 956800.0 953300.0 1129300.0 1016400.0 1034800.0 970300.0  >>> 1000 1.080
1787700.0 1684200.0 1731100.0 1811300.0 1684300.0 1475400.0 1452600.0 1422300.0 1443700.0 1471300.0  >>> 1250 1.596
6077900.0 5312100.0 5756800.0 5408300.0 4906000.0 4791600.0 4723600.0 4615300.0 4690700.0 4782300.0  >>> 2500 5.106
12950200.0 13143100.0 11351800.0 12122100.0 11358500.0 12026000.0 12659200.0 12555400.0 12030200.0 13842600.0  >>> 3750 12.404
